match_id,data,competicao,adversario,local_ref,placar_ref,placar_banco,gols_vasco_ref,gols_vasco_banco,tecnico_ref,tecnico_banco,tecnico_status,horario_ref,horario_banco,horario_status,estadio_ref,estadio_banco,estadio_status,arbitro_ref,arbitragem_banco,arbitragem_status,escalacao_status,cartoes_status,publico_presente_ref,publico_banco,renda_banco,fonte_rica
215375,19/11/2000,Campeonato Brasileiro Serie A,São Paulo-SP,casa,0x4,0x4,-,,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,16:00,16:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215423,22/11/2000,Copa Mercosul,River Plate,fora,4x1,4x1,"Romário, Júnior Baiano, Juninho Paulista, Pedrinho",Romário:1; Júnior Baiano:1; Juninho Paulista:1; Pedrinho:1,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,22:00,22:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215376,25/11/2000,Campeonato Brasileiro Serie A,Bahia-BA,fora,3x3,3x3,"Clébson, Romário, Juninho",Clébson:1; Romário:1; Juninho:1,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,16:00,16:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215377,28/11/2000,Campeonato Brasileiro Serie A,Bahia-BA,casa,3x2,3x2,"Euller (2), Juninho Paulista",Euller:2; Juninho Paulista:1,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,21:40,21:40,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215424,30/11/2000,Copa Mercosul,River Plate,casa,1x0,1x0,Juninho Paulista,Juninho Paulista:1,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,21:40,21:40,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215378,03/12/2000,Campeonato Brasileiro Serie A,Paraná-PR,casa,3x1,3x1,"Romário (2), Juninho Paulista",Romário:2; Juninho Paulista:1,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,16:00,16:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215425,06/12/2000,Copa Mercosul,Palmeiras-SP,casa,2x0,2x0,"Juninho, Romário",Juninho:1; Romário:1,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,21:45,21:45,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215379,09/12/2000,Campeonato Brasileiro Serie A,Paraná-PR,fora,0x1,0x1,-,,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,16:00,16:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215426,12/12/2000,Copa Mercosul,Palmeiras-SP,fora,0x1,0x1,-,,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,21:45,21:45,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215380,16/12/2000,Campeonato Brasileiro Serie A,Cruzeiro-MG,casa,2x2,2x2,Euller (2),Euller:2,Oswaldo de Oliveira,Oswaldo de Oliveira,OK,16:00,16:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215427,20/12/2000,Copa Mercosul,Palmeiras-SP,fora,4x3,4x3,"Romário (3), Juninho Paulista",Romário:3; Juninho Paulista:1,Joel Santana,Joel Santana,OK,21:45,21:45,OK,Palestra Itália (Parque Antártica),,confirmado,Márcio Rezende,{},confirmado,"fonte encontrada, pendente de SQL","fonte encontrada, pendente de SQL",,None,None,NetVasco especial + Zerozero/Playmaker + Verdazzo
215381,23/12/2000,Campeonato Brasileiro Serie A,Cruzeiro-MG,fora,3x1,3x1,"Juninho, Euller, Romário",Juninho:1; Euller:1; Romário:1,Joel Santana,Joel Santana,OK,16:00,16:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215382,27/12/2000,Campeonato Brasileiro Serie A,São Caetano-SP,fora,1x1,1x1,Romário,Romário:1,Joel Santana,Joel Santana,OK,21:40,21:40,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
215383,18/01/2001,Campeonato Brasileiro Serie A,São Caetano-SP,casa,3x1,3x1,"Juninho, Jorginho Paulista, Romário",Juninho:1; Jorginho Paulista:1; Romário:1,Joel Santana,Joel Santana,OK,16:00,16:00,OK,,,pesquisar,,{},pesquisar,pesquisar,pesquisar,,None,None,NetVasco núcleo + fontes complementares a pesquisar
